,Totals,Totals,Totals,Totals,Totals,Totals,Averages,Averages,Averages,Averages,Averages,Averages,Goal Ratio
,Dortmund Home Goals,Opp Away Goals,Dortmund Away Goals,Opp Home Goals,Total for,Total against,Dortmund Home Goals,Opp Away Goals,Dortmund Away Goals,Opp Home Goals,Total for,Total against,
SeasonTo,,,,,,,,,,,,,
2002.0,31.0,12.0,31.0,21.0,62.0,33.0,0.9117647058823529,0.35294117647058826,0.9117647058823529,0.6176470588235294,1.8235294117647058,0.9705882352941176,1.878787878787879
2003.0,31.0,13.0,20.0,14.0,51.0,27.0,0.9117647058823529,0.38235294117647056,0.5882352941176471,0.4117647058823529,1.5,0.7941176470588235,1.8888888888888888
2004.0,39.0,16.0,20.0,32.0,59.0,48.0,1.1470588235294117,0.47058823529411764,0.5882352941176471,0.9411764705882353,1.7352941176470589,1.411764705882353,1.2291666666666667
2005.0,24.0,18.0,23.0,26.0,47.0,44.0,0.7058823529411765,0.5294117647058824,0.6764705882352942,0.7647058823529411,1.3823529411764706,1.2941176470588236,1.0681818181818181
2006.0,23.0,18.0,22.0,24.0,45.0,42.0,0.6764705882352942,0.5294117647058824,0.6470588235294118,0.7058823529411765,1.3235294117647058,1.2352941176470589,1.0714285714285714
2007.0,19.0,17.0,22.0,26.0,41.0,43.0,0.5588235294117647,0.5,0.6470588235294118,0.7647058823529411,1.2058823529411764,1.2647058823529411,0.9534883720930233
2008.0,29.0,24.0,21.0,38.0,50.0,62.0,0.8529411764705882,0.7058823529411765,0.6176470588235294,1.1176470588235294,1.4705882352941178,1.8235294117647058,0.8064516129032258
2009.0,34.0,11.0,26.0,26.0,60.0,37.0,1.0,0.3235294117647059,0.7647058823529411,0.7647058823529411,1.7647058823529411,1.088235294117647,1.6216216216216217
2010.0,29.0,14.0,25.0,28.0,54.0,42.0,0.8529411764705882,0.4117647058823529,0.7352941176470589,0.8235294117647058,1.588235294117647,1.2352941176470589,1.2857142857142858
2011.0,35.0,8.0,32.0,14.0,67.0,22.0,1.0294117647058822,0.23529411764705882,0.9411764705882353,0.4117647058823529,1.9705882352941178,0.6470588235294118,3.0454545454545454
2012.0,44.0,12.0,36.0,13.0,80.0,25.0,1.2941176470588236,0.35294117647058826,1.0588235294117647,0.38235294117647056,2.3529411764705883,0.7352941176470589,3.2
2013.0,40.0,19.0,41.0,23.0,81.0,42.0,1.1764705882352942,0.5588235294117647,1.2058823529411764,0.6764705882352942,2.3823529411764706,1.2352941176470589,1.9285714285714286
2014.0,41.0,19.0,39.0,19.0,80.0,38.0,1.2058823529411764,0.5588235294117647,1.1470588235294117,0.5588235294117647,2.3529411764705883,1.1176470588235294,2.1052631578947367
2015.0,26.0,15.0,21.0,27.0,47.0,42.0,0.7647058823529411,0.4411764705882353,0.6176470588235294,0.7941176470588235,1.3823529411764706,1.2352941176470589,1.119047619047619
2016.0,49.0,14.0,33.0,20.0,82.0,34.0,1.4411764705882353,0.4117647058823529,0.9705882352941176,0.5882352941176471,2.411764705882353,1.0,2.411764705882353
2017.0,41.0,12.0,31.0,28.0,72.0,40.0,1.2058823529411764,0.35294117647058826,0.9117647058823529,0.8235294117647058,2.1176470588235294,1.1764705882352942,1.8
2018.0,40.0,21.0,24.0,26.0,64.0,47.0,1.1764705882352942,0.6176470588235294,0.7058823529411765,0.7647058823529411,1.8823529411764706,1.3823529411764706,1.3617021276595744
