Hawks,Nets,Celtics,Hornets,Bulls,Cavaliers,Mavericks,Nuggets,Pistons,Warriors,Rockets,Pacers,Clippers,Lakers,Grizzlies,Heat,Bucks,Timberwolves,Pelicans,Knicks,Thunder,Magic,76ers,Suns,Trail Blazers,Kings,Spurs,Raptors,Jazz,Wizards
0.55298,0.52445,0.46707,0.4962,0.49643999999999994,0.5586899999999999,0.55093,0.46176000000000006,0.48807,0.5705399999999999,0.54992,0.45181000000000004,0.52667,0.46768000000000004,0.55862,0.50921,0.50216,0.42655,0.47513,0.43773999999999996,0.5474,0.44678999999999996,0.3762,0.46875,0.49618,0.49991,0.5634,0.52241,0.4834,0.52458
0.54751,0.51666,0.47046000000000004,0.49915,0.48745,0.56267,0.55558,0.46352,0.47976,0.58213,0.54673,0.45899999999999996,0.53582,0.47161000000000003,0.5605899999999999,0.50475,0.52762,0.41931,0.479,0.42112,0.53866,0.44248999999999994,0.38015,0.47415,0.49735,0.4807,0.55665,0.53614,0.48115,0.52394
0.54967,0.51149,0.47751000000000005,0.49421000000000004,0.4944,0.5671,0.561,0.46024,0.47946000000000005,0.59007,0.54486,0.45912,0.5434899999999999,0.4798,0.5634100000000001,0.51075,0.52922,0.41541000000000006,0.47876,0.41815,0.54079,0.43855,0.37129,0.47121,0.48673999999999995,0.47593,0.55583,0.5423,0.46878000000000003,0.52225
0.56089,0.50685,0.48152,0.48753,0.49709,0.5734199999999999,0.56053,0.45025,0.48168,0.60556,0.54825,0.46302,0.54138,0.47591999999999995,0.5634899999999999,0.51958,0.53597,0.39921999999999996,0.48633999999999994,0.41045,0.53281,0.44011000000000006,0.36372,0.48171,0.48661000000000004,0.46588,0.55821,0.54469,0.45677,0.52245
0.5562600000000001,0.5088600000000001,0.48073,0.48754,0.48573,0.57485,0.56216,0.44176000000000004,0.4826,0.6098899999999999,0.54055,0.46686000000000005,0.54916,0.47184,0.55515,0.52366,0.54186,0.38838,0.48618999999999996,0.40399,0.53959,0.44564,0.37013,0.48053,0.49883999999999995,0.46808999999999995,0.57697,0.53618,0.44932,0.51856
0.57457,0.5007,0.47784,0.50236,0.48591000000000006,0.57301,0.5653100000000001,0.43788999999999995,0.47668999999999995,0.62727,0.54452,0.46403,0.54778,0.46437,0.56004,0.52168,0.54332,0.38006,0.49444,0.40141,0.5459,0.42977,0.35408,0.49588000000000004,0.50274,0.46456000000000003,0.58152,0.52985,0.44204,0.51423
0.58205,0.4912,0.48686999999999997,0.5102300000000001,0.48436999999999997,0.56152,0.56828,0.44056999999999996,0.47653,0.63749,0.5454899999999999,0.45938999999999997,0.54709,0.45816,0.56192,0.52573,0.54584,0.37201999999999996,0.50567,0.39218000000000003,0.54159,0.41597,0.34302,0.5083300000000001,0.50127,0.4555,0.58912,0.5323399999999999,0.43462,0.53108
0.5794699999999999,0.48796999999999996,0.49568999999999996,0.5038100000000001,0.47389,0.56491,0.57012,0.42985,0.47778000000000004,0.6391399999999999,0.56267,0.45613000000000004,0.54955,0.45318,0.57117,0.53282,0.53174,0.36291999999999996,0.51376,0.38301999999999997,0.5455800000000001,0.40901,0.33818000000000004,0.5058199999999999,0.5112300000000001,0.46567,0.59575,0.54979,0.41851000000000005,0.5280600000000001
0.5889300000000001,0.49266000000000004,0.49008999999999997,0.50926,0.47672,0.57316,0.56965,0.42928999999999995,0.46992,0.65809,0.5734,0.46168000000000003,0.53562,0.4418,0.56987,0.53455,0.5354399999999999,0.35046,0.51949,0.37913,0.54002,0.41591999999999996,0.33384,0.50176,0.51158,0.46461,0.58282,0.54747,0.41368,0.53679
0.60811,0.48053999999999997,0.47898999999999997,0.50743,0.47557,0.56286,0.56925,0.42715,0.4759,0.6721600000000001,0.56865,0.45073,0.5535899999999999,0.43643000000000004,0.57333,0.52852,0.54524,0.34768000000000004,0.51717,0.38125,0.5320199999999999,0.41079,0.32114000000000004,0.50292,0.51377,0.46629,0.5955199999999999,0.55252,0.40234000000000003,0.54964
0.6099399999999999,0.47683000000000003,0.48,0.49746,0.48612,0.55653,0.56526,0.43103,0.46515,0.67476,0.57877,0.43426000000000003,0.56675,0.43633,0.58095,0.52789,0.5535899999999999,0.34725,0.53015,0.37483,0.5239,0.40985,0.3164,0.5019600000000001,0.51817,0.46551000000000003,0.58055,0.5595399999999999,0.40241,0.55575
0.61638,0.48003999999999997,0.48011000000000004,0.48863,0.4885,0.55273,0.56238,0.43263,0.45806,0.69282,0.58196,0.44538999999999995,0.56647,0.43309,0.58601,0.52982,0.56428,0.34604,0.53554,0.37409000000000003,0.52423,0.39909,0.29565,0.51354,0.5202,0.45519,0.57545,0.55377,0.40038,0.55662
0.62932,0.47736999999999996,0.47825,0.48544,0.48056000000000004,0.55315,0.56082,0.43248000000000003,0.45361,0.69281,0.59124,0.43913,0.57114,0.42003999999999997,0.59755,0.51574,0.55978,0.34064,0.53665,0.3728,0.51825,0.41328000000000004,0.28013000000000005,0.51527,0.51245,0.45908999999999994,0.58437,0.55648,0.40992,0.56965
0.64055,0.46924,0.45737,0.49565,0.4923,0.5471,0.55886,0.43799999999999994,0.44856999999999997,0.70103,0.58634,0.41848,0.5878899999999999,0.42545,0.6026699999999999,0.51051,0.55884,0.32888,0.5394399999999999,0.36404000000000003,0.5351,0.41139,0.2714,0.51271,0.51898,0.46158000000000005,0.59344,0.55595,0.39773000000000003,0.5775899999999999
