b'Season',b'Player',b'Agea',b'Posb',b'Team',b'Gamesplayed',b'Field goalsmade',b'3-pointfield goalsmade',b'Free throwsmade',b'Totalpoints',b'Points pergame',b'Ref'
b'200910',b'Kevin Durantv',b'21',b'F',b'Oklahoma City Thunder',b'82',b'794',b'128',b'756',"b'2,472'",b'301',b'120'
b'201011',b'Kevin Durant (2)',b'22',b'F',b'Oklahoma City Thunder',b'78',b'711',b'145',b'594',"b'2,161'",b'277',b'120'
b'201112w',b'Kevin Durant (3)x',b'23',b'F',b'Oklahoma City Thunder',b'66',b'643',b'133',b'431',"b'1,850'",b'280',b'120'
b'201213',b'Carmelo Anthonyy',b'28',b'F',b'New York Knicks',b'67',b'669',b'157',b'425',"b'1,920'",b'287',b'124'
b'201314',b'Kevin Durant (4)',b'25',b'F',b'Oklahoma City Thunder',b'81',b'849',b'192',b'703',"b'2,593'",b'320',b'120'
b'201415',b'Russell Westbrookz',b'26',b'G',b'Oklahoma City Thunder',b'67',b'627',b'86',b'546',"b'1,886'",b'281',b'126'
b'201516',b'Stephen Curryaa',b'28',b'G',b'Golden State Warriors',b'79',b'805',b'402',b'363',"b'2,375'",b'301',b'128'
b'201617',b'Russell Westbrook (2)',b'28',b'G',b'Oklahoma City Thunder',b'81',b'824',b'200',b'710',"b'2,558'",b'316',b'126'
b'201718',b'James Hardenab',b'28',b'G',b'Houston Rockets',b'72',b'651',b'265',b'624',"b'2,191'",b'304',b'130'
b'201819',b'James Harden (2)',b'29',b'G',b'Houston Rockets',b'78',b'843',b'378',b'754',"b'2,818'",b'361',b'130'
